series_num,red_balls,blue_ball
26062	,2_4_7_14_28_29,	9
26063	,2_8_25_28_30_31,	2
26064	,1_9_15_18_29_33,	15
26065	,7_8_16_24_30_32,	2
26066	,5_11_21_23_24_29,	16
26067	,4_19_27_29_30_32,	13
26068	,3_5_16_18_29_32,	4
26069	,12_14_16_17_18_32,	8
26070	,3_6_8_14_26_27,	8
26071	,3_8_19_25_31_33,	5
26072	,7_8_12_15_17_21,	1
26073	,9_10_13_16_19_21,	8
26074	,2_23_24_26_28_32,	4
26075	,8_12_18_21_24_30,	1
26076	,1_3_19_20_24_25,	7
26077	,1_4_5_14_18_25,	4
26078	,7_11_14_16_27_28,	6
26079	,1_11_17_22_24_29,	4
26080	,4_5_11_19_27_32,	1
26081	,6_10_12_15_24_27,	12
26082	,5_7_10_14_21_28,	4
26083	,7_14_15_23_28_33,	3
26084	,1_5_6_10_12_16,	5
26085	,6_9_13_17_24_28,	15
26086	,2_5_14_25_30_32,	5
26087	,4_6_10_18_23_31,	11
26088	,6_7_11_18_22_33,	5
26089	,5_18_23_24_27_33,	3
26090	,2_4_15_23_25_27,	3
26091	,2_13_14_16_20_24,	5
