series_num,red_balls,blue_ball
26061	,"1,4,5,15,23,28",	7
26062	,"2,4,7,14,28,29",	9
26063	,"2,8,25,28,30,31",	2
26064	,"1,9,15,18,29,33",	15
26065	,"7,8,16,24,30,32",	2
26066	,"5,11,21,23,24,29",	16
26067	,"4,19,27,29,30,32",	13
26068	,"3,5,16,18,29,32",	4
26069	,"12,14,16,17,18,32",	8
26070	,"3,6,8,14,26,27",	8
26071	,"3,8,19,25,31,33",	5
26072	,"7,8,12,15,17,21",	1
26073	,"9,10,13,16,19,21",	8
26074	,"2,23,24,26,28,32",	4
26075	,"8,12,18,21,24,30",	1
26076	,"1,3,19,20,24,25",	7
26077	,"1,4,5,14,18,25",	4
26078	,"7,11,14,16,27,28",	6
26079	,"1,11,17,22,24,29",	4
26080	,"4,5,11,19,27,32",	1
26081	,"6,10,12,15,24,27",	12
26082	,"5,7,10,14,21,28",	4
26083	,"7,14,15,23,28,33",	3
26084	,"1,5,6,10,12,16",	5
26085	,"6,9,13,17,24,28",	15
26086	,"2,5,14,25,30,32",	5
26087	,"4,6,10,18,23,31",	11
26088	,"6,7,11,18,22,33",	5
26089	,"5,18,23,24,27,33",	3
26090	,"2,4,15,23,25,27",	3
